source,source_code,source_sheet,대분류,중분류,source_item_text,source_operation_type,canonical_id
union_standard_time,3478001.0,승합-소형승합,소모품 및 하체정비,브레이크/타이어,크러쉬패드,탈착,CAN-002609
union_standard_time,3478001.0,승합-소형승합,소모품 및 하체정비,브레이크/타이어,크러쉬패드,교환,CAN-002608
union_standard_time,3478009.0,승합-소형승합,기능정비,엔진 부품,콘솔박스,탈착,CAN-002570
union_standard_time,3478009.0,승합-소형승합,기능정비,엔진 부품,콘솔박스,교환,CAN-002569
union_standard_time,3478020.0,승합-소형승합,기능정비,에어컨,히터모터(분리식),탈착,CAN-003442
union_standard_time,3478020.0,승합-소형승합,기능정비,에어컨,히터모터(분리식),교환,CAN-003441
union_standard_time,3478021.0,승합-소형승합,기능정비,에어컨,뒤 히터,탈착,CAN-000250
union_standard_time,3478021.0,승합-소형승합,기능정비,에어컨,뒤 히터,교환,CAN-000249
union_standard_time,3478023.0,승합-소형승합,기능정비,에어컨,히터 및 에어컨 에버포레이터,탈착,CAN-003448
union_standard_time,3478023.0,승합-소형승합,기능정비,에어컨,히터 및 에어컨 에버포레이터,교환,CAN-003447
union_standard_time,3478024.0,승합-소형승합,기능정비,에어컨,에어컨 에바포레이터(화물),탈착,CAN-001819
union_standard_time,3478024.0,승합-소형승합,기능정비,에어컨,에어컨 에바포레이터(화물),교환,CAN-001818
union_standard_time,3478025.0,승합-소형승합,기능정비,엔진 부품,리어 에버포레이터,탈착,CAN-000700
union_standard_time,3478025.0,승합-소형승합,기능정비,엔진 부품,리어 에버포레이터,교환,CAN-000699
union_standard_time,3478026.0,승합-소형승합,기능정비,에어컨,리어 에어컨디셔너,탈착,CAN-000702
union_standard_time,3478026.0,승합-소형승합,기능정비,에어컨,리어 에어컨디셔너,교환,CAN-000701
union_standard_time,3478027.0,승합-소형승합,판금/도장정비,판금(탈부착),쿨러유니트(루프부착형),탈착,CAN-002582
union_standard_time,3478027.0,승합-소형승합,판금/도장정비,판금(탈부착),쿨러유니트(루프부착형),교환,CAN-002581
union_standard_time,3478402.0,승합-소형승합,기능정비,엔진 부품,프론트 시트(우측),탈착,CAN-003090
union_standard_time,3478402.0,승합-소형승합,기능정비,엔진 부품,프론트 시트(우측),교환,CAN-003089
union_standard_time,3479019.0,승합-소형승합,기능정비,에어컨,히터 유니트,탈착,CAN-003452
union_standard_time,3479019.0,승합-소형승합,기능정비,에어컨,히터 유니트,교환,CAN-003451
union_standard_time,3488015.0,승합-소형승합,기능정비,엔진 부품,리어시트(2열),탈착,CAN-000619
union_standard_time,3488015.0,승합-소형승합,기능정비,엔진 부품,리어시트(2열),교환,CAN-000618
union_standard_time,3488016.0,승합-소형승합,기능정비,엔진 부품,리어시트(3열),탈착,CAN-000627
union_standard_time,3488016.0,승합-소형승합,기능정비,엔진 부품,리어시트(3열),교환,CAN-000626
union_standard_time,3488017.0,승합-소형승합,기능정비,엔진 부품,리어시트(4열),탈착,CAN-000637
union_standard_time,3488017.0,승합-소형승합,기능정비,엔진 부품,리어시트(4열),교환,CAN-000636
union_standard_time,3488018.0,승합-소형승합,기능정비,엔진 부품,리어시트(5열),탈착,CAN-000639
union_standard_time,3488018.0,승합-소형승합,기능정비,엔진 부품,리어시트(5열),교환,CAN-000638
union_standard_time,3488021.0,승합-소형승합,기능정비,엔진 부품,리어시트 분리형 #1,탈착,CAN-000645
union_standard_time,3488021.0,승합-소형승합,기능정비,엔진 부품,리어시트 분리형 #1,교환,CAN-000644
union_standard_time,3488022.0,승합-소형승합,기능정비,엔진 부품,리어시트 분리형 #2,탈착,CAN-000647
union_standard_time,3488022.0,승합-소형승합,기능정비,엔진 부품,리어시트 분리형 #2,교환,CAN-000646
union_standard_time,3488023.0,승합-소형승합,기능정비,엔진 부품,리어시트 분리형 #3,탈착,CAN-000649
union_standard_time,3488023.0,승합-소형승합,기능정비,엔진 부품,리어시트 분리형 #3,교환,CAN-000648
union_standard_time,3488024.0,승합-소형승합,기능정비,엔진 부품,리어시트 분리형 #4,탈착,CAN-000651
union_standard_time,3488024.0,승합-소형승합,기능정비,엔진 부품,리어시트 분리형 #4,교환,CAN-000650
union_standard_time,3488025.0,승합-소형승합,기능정비,엔진 부품,리어시트 분리형 #5,탈착,CAN-000653
union_standard_time,3488025.0,승합-소형승합,기능정비,엔진 부품,리어시트 분리형 #5,교환,CAN-000652
union_standard_time,3488026.0,승합-소형승합,기능정비,엔진 부품,리어시트 분리형 #6,탈착,CAN-000655
union_standard_time,3488026.0,승합-소형승합,기능정비,엔진 부품,리어시트 분리형 #6,교환,CAN-000654
union_standard_time,3488027.0,승합-소형승합,기능정비,엔진 부품,리어시트 분리형 #7,탈착,CAN-000657
union_standard_time,3488027.0,승합-소형승합,기능정비,엔진 부품,리어시트 분리형 #7,교환,CAN-000656
union_standard_time,3488301.0,승합-소형승합,기능정비,엔진 부품,프론트 시트(좌측),탈착,CAN-003100
union_standard_time,3488301.0,승합-소형승합,기능정비,엔진 부품,프론트 시트(좌측),교환,CAN-003099
union_standard_time,3499017.0,승합-소형승합,기능정비,엔진 부품,안전밸트(2점식)NO.1,탈착,CAN-001619
union_standard_time,3499017.0,승합-소형승합,기능정비,엔진 부품,안전밸트(2점식)NO.1,교환,CAN-001618
