번호,대분류,중분류,작업명
94,소모품 및 하체정비,하체 부품,프론트 액슬 너클 (RH)
95,소모품 및 하체정비,하체 부품,로워암 어셈블리 (LH)
96,소모품 및 하체정비,하체 부품,로워암 어셈블리 (양쪽)
97,소모품 및 하체정비,하체 부품,로워암 어셈블리 (RH)
98,소모품 및 하체정비,하체 부품,스트러트 인슐레이터 어셈블리 (LH)
99,소모품 및 하체정비,하체 부품,스트러트 인슐레이터 어셈블리 (RH)
100,소모품 및 하체정비,하체 부품,스트러트 어셈블리 (LH)
101,소모품 및 하체정비,하체 부품,스트러트 어셈블리 (양쪽)
102,소모품 및 하체정비,하체 부품,스트러트 어셈블리 (RH)
103,소모품 및 하체정비,하체 부품,스테이빌라이저 바
104,소모품 및 하체정비,하체 부품,스테이빌라이저 바 부싱 (양쪽)
105,소모품 및 하체정비,하체 부품,스테이빌라이저 링크 어셈블리 (LH)
106,소모품 및 하체정비,하체 부품,스테이빌라이저 링크 어셈블리 (양쪽)
107,소모품 및 하체정비,하체 부품,스테이빌라이저 링크 어셈블리 (RH)
108,소모품 및 하체정비,하체 부품,리어 크로스멤버 컴플리트
109,소모품 및 하체정비,하체 부품,크로스멤버 어셈블리
110,소모품 및 하체정비,하체 부품,크로스멤버 어셈블리 (엔진 미장착 상태)
1,판금/도장정비,판금(탈부착),프론트 범퍼 오버홀
2,판금/도장정비,판금(탈부착),펜더 패널 어셈블리 (범퍼 탈부착 미포함)
3,판금/도장정비,판금(탈부착),쿼터 외측 패널 어셈블리 (RH 탈부착 미포함)
4,판금/도장정비,판금(탈부착),라디에이터 서포트 패널 어셈블리 (라디에이터, 콘덴서 미포함)
5,판금/도장정비,판금(탈부착),후드 판넬 어셈블리
6,판금/도장정비,판금(탈부착),크로스멤버 어셈블리
7,판금/도장정비,판금(탈부착),엔진 어셈블리 (탈부착)
8,판금/도장정비,판금(탈부착),루프 패널 (부착 미포함)
9,판금/도장정비,판금(탈부착),선루프 어셈블리
10,판금/도장정비,판금(탈부착),헤드라이닝 어셈블리
11,판금/도장정비,판금(탈부착),테일게이트 판넬 어셈블리
12,판금/도장정비,판금(탈부착),트렁크 리드 패널 (사상작업 포함)
13,판금/도장정비,판금(탈부착),프론트 도어 어셈블리 (LH)
14,판금/도장정비,판금(탈부착),프론트 도어 판넬 어셈블리 (RH)
15,판금/도장정비,판금(탈부착),리어 도어 판넬 어셈블리 (LH)
16,판금/도장정비,판금(탈부착),리어 도어 판넬 어셈블리 (RH)
17,판금/도장정비,판금(탈부착),프론트 도어 아웃사이드 핸들 어셈블리 (LH)
18,판금/도장정비,판금(탈부착),아웃사이드 리어 뷰 리모트 컨트롤 미러 어셈블리
19,판금/도장정비,판금(탈부착),센터 외측 필라 어셈블리 (LH 탈부착 미포함)
20,판금/도장정비,판금(탈부착),센터 외측 필라 어셈블리 (RH 탈부착 미포함)
21,판금/도장정비,판금(탈부착),메인 크래쉬 패드 어셈블리
22,판금/도장정비,판금(탈부착),리어 범퍼 오버홀
23,판금/도장정비,판금(탈부착),백 패널 (탈부착 미포함)
24,판금/도장정비,판금(탈부착),사이드실 내측 패널 (LH 탈부착 미포함)
25,판금/도장정비,판금(탈부착),사이드실 내측 패널 (RH 탈부착 미포함)
26,판금/도장정비,판금(탈부착),사이드실 외측 패널 (LH 탈부착 미포함)
27,판금/도장정비,판금(탈부착),사이드실 외측 패널 (RH 탈부착 미포함)
28,판금/도장정비,판금(탈부착),프론트 필라 외측 패널 어셈블리 (LH)
29,판금/도장정비,판금(탈부착),프론트 필라 외측 패널 어셈블리 (RH)
30,판금/도장정비,도장(색칠),프론트 범퍼 도장 (탈거된 상태)
31,판금/도장정비,도장(색칠),펜더 패널 도장 (LH)
32,판금/도장정비,도장(색칠),쿼터 외측 패널 도장 (LH)
33,판금/도장정비,도장(색칠),후드 패널 도장
34,판금/도장정비,도장(색칠),루프 패널 도장
35,판금/도장정비,도장(색칠),루프 사이드 외측 패널 도장 (LH)
36,판금/도장정비,도장(색칠),테일 게이트 패널 도장
37,판금/도장정비,도장(색칠),트렁크 리드 패널 도장 (판금 후)
38,판금/도장정비,도장(색칠),프론트 도어 패널 어셈블리 도장 (LH / 탈거된 상태)
39,판금/도장정비,도장(색칠),프론트 도어 패널 어셈블리 도장 (RH / 탈거된 상태)
40,판금/도장정비,도장(색칠),리어 도어 패널 도장 (LH)
41,판금/도장정비,도장(색칠),리어 도어 패널 도장 (RH)
42,판금/도장정비,도장(색칠),아웃사이드 리어 뷰 미러 도장 (탈거된 상태)
43,판금/도장정비,도장(색칠),프론트 필라 외측 패널 어셈블리 도장 (LH)
44,판금/도장정비,도장(색칠),프론트 필라 외측 패널 어셈블리 도장 (RH)
45,판금/도장정비,도장(색칠),센터 외측 필라 어셈블리 도장 (판금 후 LH)
46,판금/도장정비,도장(색칠),센터 외측 필라 어셈블리 도장 (판금 후 RH)
47,판금/도장정비,도장(색칠),리어 범퍼 도장 (탈거된 상태)
48,판금/도장정비,도장(색칠),백 패널 도장 (판금 후)
49,판금/도장정비,도장(색칠),사이드실 외측 패널 도장 (LH)
50,판금/도장정비,도장(색칠),사이드실 외측 패널 도장 (RH)
